celebrity_name,ballroom_partner,partner_id,celebrity_industry,celebrity_age_during_season,is_usa,season,voting_rule_phase,placement,total_weeks_participated,avg_score_all_weeks,score_improvement,elimination_week
Sean Avery,Karina Smirnoff,12,Athlete,33,0,18,2,11,2,6.833333333333334,0.33333333333333304,2
Diana Nyad,Henry Byalikov,37,Athlete,64,1,18,2,12,1,6.0,,2
Charlie White,Sharna Burgess,32,Athlete,26,1,18,2,5,9,9.023148148148149,0.5,9
Amy Purdy,Derek Hough,19,Athlete,34,1,18,2,2,10,9.126386666666667,1.888866666666667,0
Meryl Davis,Maksim Chmerkoskiy,7,Athlete,27,1,18,2,1,10,9.358333333333334,2.0,0
Drew Carey,Cheryl Burke,10,Comedian,55,1,18,2,8,6,7.458333333333333,1.0,6
Cody Simpson,Witney Carson,38,Singer/Rapper,17,0,18,2,9,5,7.933333333333333,1.166666666666667,5
NeNe Leakes,Tony Dovolani,8,Tv Personality,46,1,18,2,7,7,7.892857142857143,1.25,7
Antonio Sabato Jr.,Cheryl Burke,10,Actor/Actress,42,0,19,2,8,7,7.125,1.125,7
Jonathan Bennett,Allison Holker,39,Actor/Actress,33,1,19,2,9,6,7.166666666666667,0.5,6
Lea Thompson,Artem Chigvintsev,40,Actor/Actress,53,1,19,2,6,9,8.472222222222221,0.75,9
Janel Parrish,Valentin Chmerkovskiy,28,Actor/Actress,25,1,19,2,3,11,9.04545,2.499950000000002,0
Alfonso Ribeiro,Witney Carson,38,Actor/Actress,42,1,19,2,1,11,9.181818181818182,1.0,0
Lolo Jones,Keo Motsepe,41,Athlete,32,1,19,2,13,1,5.5,,1
Randy Couture,Karina Smirnoff,12,Athlete,51,1,19,2,11,3,7.083333333333333,-1.25,3
Tommy Chong,Peta Murgatroyd,29,Comedian,76,0,19,2,5,10,7.1625,1.0,10
Betsey Johnson,Tony Dovolani,8,Fashion Designer,72,1,19,2,10,4,6.625,2.25,4
Michael Waltrip,Emma Slater,34,Racing Driver,51,1,19,2,7,8,6.40625,0.0,8
Tavis Smiley,Sharna Burgess,32,Radio Personality,50,1,19,2,12,2,7.125,-0.25,2
Bethany Mota,Derek Hough,19,Social Media Personality,18,1,19,2,4,11,9.011363636363637,1.5,11
Sadie Robertson,Mark Ballas,18,Tv Personality,17,1,19,2,2,11,8.791663636363637,1.3333000000000013,0
Suzanne Somers,Tony Dovolani,8,Actor/Actress,68,1,20,2,9,5,6.7,0.75,5
Willow Shields,Mark Ballas,18,Actor/Actress,14,1,20,2,7,7,8.482142857142858,3.5,7
Riker Lynch,Allison Holker,39,Actor/Actress,23,1,20,2,2,10,9.075,2.25,0
Rumer Willis,Valentin Chmerkovskiy,28,Actor/Actress,26,1,20,2,1,10,9.0625,2.0,0
Nastia Liukin,Derek Hough,19,Athlete,25,0,20,2,4,9,9.097222222222221,2.5,9
Michael Sam,Peta Murgatroyd,29,Athlete,25,1,20,2,10,4,6.75,1.0,4
Robert Herjavec,Kym Johnson,14,Entrepreneur,52,0,20,2,6,8,7.453125,0.75,8
Charlotte McKinney,Keo Motsepe,41,Model,21,1,20,2,11,3,5.833333333333333,0.0,3
Noah Galloway,Sharna Burgess,32,Motivational Speaker,33,1,20,2,3,10,8.0125,2.5,0
Redfoo,Emma Slater,34,Singer/Rapper,39,1,20,2,12,2,6.625,2.25,2
Patti LaBelle,Artem Chigvintsev,40,Singer/Rapper,70,1,20,2,8,6,6.916666666666667,2.25,6
Chris Soules,Witney Carson,38,Tv Personality,33,1,20,2,5,8,7.09375,1.5,8
Gary Busey,Anna Trebunskaya,9,Actor/Actress,71,1,21,2,10,4,5.520833333333333,0.33333333333333304,4
Alexa PenaVega,Mark Ballas,18,Actor/Actress,27,1,21,2,6,9,8.518511111111112,2.666666666666667,9
Carlos PenaVega,Witney Carson,38,Actor/Actress,26,1,21,2,4,11,8.999993939393939,2.333333333333333,11
Victor Espinoza,Karina Smirnoff,12,Athlete,43,0,21,2,12,2,5.583333333333334,1.166666666666667,2
Alek Skarlatos,Lindsay Arnold,31,Military,22,1,21,2,3,11,8.212118181818182,1.9999666666666664,0
Chaka Khan,Keo Motsepe,41,Singer/Rapper,62,1,21,2,13,2,4.666666666666666,0.666666666666667,2
Andy Grammer,Allison Holker,39,Singer/Rapper,31,1,21,2,7,8,8.197908333333334,0.9999333333333338,8
Tamar Braxton,Valentin Chmerkovskiy,28,Singer/Rapper,38,1,21,2,5,9,8.537037037037036,0.4999999999999991,-1
Nick Carter,Sharna Burgess,32,Singer/Rapper,35,1,21,2,2,11,9.106060606060607,2.0,0
Hayes Grier,Emma Slater,34,Social Media Personality,15,1,21,2,8,7,7.976190476190476,2.333333333333334,7
Bindi Irwin,Derek Hough,19,Tv Personality,17,0,21,2,1,11,9.280303030303031,2.0,0
Kim Zolciak-Biermann,Tony Dovolani,8,Tv Personality,37,1,21,2,11,2,5.083333333333334,2.166666666666667,-1
Paula Deen,Louis van Amstel,5,Tv Personality,68,1,21,2,9,6,5.777777777777779,1.0,6
Mischa Barton,Artem Chigvintsev,40,Actor/Actress,30,0,22,2,11,3,5.444444444444444,0.666666666666667,3
Kim Fields,Sasha Farber,35,Actor/Actress,46,1,22,2,8,7,7.428571428571429,1.9999999999999991,7
Jodie Sweetin,Keo Motsepe,41,Actor/Actress,34,1,22,2,6,8,7.958333333333334,3.333333333333333,8
Doug Flutie,Karina Smirnoff,12,Athlete,53,1,22,2,9,6,6.388888888888889,2.0,6
Von Miller,Witney Carson,38,Athlete,27,1,22,2,7,7,7.464285714285714,1.666666666666666,7
Antonio Brown,Sharna Burgess,32,Athlete,27,1,22,2,5,9,7.898148148148148,2.166666666666666,9
Paige VanZant,Mark Ballas,18,Athlete,22,1,22,2,2,10,8.69722,2.888866666666667,0
Geraldo Rivera,Edyta Sliwinska,2,Journalist,72,1,22,2,12,2,4.333333333333333,0.0,2
Nyle DiMarco,Peta Murgatroyd,29,Model,26,1,22,2,1,10,8.69166,1.9999333333333338,0
Ginger Zee,Valentin Chmerkovskiy,28,News Anchor,35,1,22,2,3,10,8.461106666666666,1.777733333333333,0
Wanya Morris,Lindsay Arnold,31,Singer/Rapper,42,1,22,2,4,9,8.564814814814817,2.333333333333333,9
Marla Maples,Tony Dovolani,8,Tv Personality,52,1,22,2,10,4,6.916666666666667,0.0,4
Jake T. Austin,Jenna Johnson,42,Actor/Actress,21,1,23,2,13,2,5.75,0.5,2
Maureen McCormick,Artem Chigvintsev,40,Actor/Actress,60,1,23,2,8,7,7.285714285714286,2.75,7
Marilu Henner,Derek Hough,19,Actor/Actress,64,1,23,2,6,9,7.740740740740741,2.25,9
Ryan Lochte,Cheryl Burke,10,Athlete,32,1,23,2,7,8,7.25,2.666666666666666,8
Calvin Johnson Jr.,Lindsay Arnold,31,Athlete,30,1,23,2,3,11,8.530297727272727,3.0832750000000004,0
Laurie Hernandez,Valentin Chmerkovskiy,28,Athlete,16,1,23,2,1,11,9.140148484848487,2.0833000000000013,0
Amber Rose,Maksim Chmerkoskiy,7,Model,32,1,23,2,9,6,6.875,1.0,6
Rick Perry,Emma Slater,34,Politician,66,1,23,2,12,3,5.416666666666667,0.75,3
James Hinchcliffe,Sharna Burgess,32,Racing Driver,29,0,23,2,2,11,9.113625757575758,1.9999500000000001,0
Babyface,Allison Holker,39,Singer/Rapper,57,1,23,2,11,4,6.5625,-0.5,4
Vanilla Ice,Witney Carson,38,Singer/Rapper,48,1,23,2,10,4,6.541666666666667,1.416666666666667,4
Jana Kramer,Gleb Savchenko,33,Singer/Rapper,32,1,23,2,4,11,8.545454545454545,2.125,11
Terra Jole,Sasha Farber,35,Tv Personality,36,1,23,2,5,10,8.245833333333334,3.75,10
Charo,Keo Motsepe,41,Actor/Actress,66,0,24,2,11,3,5.833333333333333,0.75,3
Mr. T,Kym Herjavec,43,Actor/Actress,64,1,24,2,10,4,5.875,2.0,4
Heather Morris,Maksim Chmerkoskiy,7,Actor/Actress,30,1,24,2,8,6,8.208333333333334,2.25,6
Nancy Kerrigan,Artem Chigvintsev,40,Athlete,47,1,24,2,7,7,8.125,2.0,7
Bonner Bolton,Sharna Burgess,32,Athlete,29,1,24,2,5,8,7.109375,1.75,8
Simone Biles,Sasha Farber,35,Athlete,20,1,24,2,4,9,8.791666666666666,2.0,9
David Ross,Lindsay Arnold,31,Athlete,40,1,24,2,2,10,7.8208325,2.0833250000000003,0
Rashad Jennings,Emma Slater,34,Athlete,32,1,24,2,1,10,8.791665,2.1666500000000006,0
Chris Kattan,Witney Carson,38,Comedian,46,1,24,2,12,2,4.875,1.25,2
Erika Jayne,Gleb Savchenko,33,Singer/Rapper,45,1,24,2,9,5,7.0,2.0,5
Normani,Valentin Chmerkovskiy,28,Singer/Rapper,20,1,24,2,3,10,8.970830000000001,3.0833000000000013,0
Nick Viall,Peta Murgatroyd,29,Tv Personality,36,1,24,2,6,7,7.267857142857143,2.5,7
Sasha Pieterse,Gleb Savchenko,33,Actor/Actress,21,0,25,2,10,5,7.166666666666666,2.0,5
Frankie Muniz,Witney Carson,38,Actor/Actress,31,1,25,2,3,10,8.380550833333334,3.388841666666667,0
Jordan Fisher,Lindsay Arnold,31,Actor/Actress,23,1,25,2,1,10,9.175,2.666666666666667,0
Derek Fisher,Sharna Burgess,32,Athlete,43,1,25,2,11,4,6.75,1.666666666666667,4
Nikki Bella,Artem Chigvintsev,40,Athlete,33,1,25,2,8,7,7.738095238095239,1.333333333333333,7
Terrell Owens,Cheryl Burke,10,Athlete,43,1,25,2,6,8,7.59375,3.5,8
Victoria Arlen,Valentin Chmerkovskiy,28,Athlete,22,1,25,2,5,9,8.175925925925926,3.000000000000001,9
Barbara Corcoran,Keo Motsepe,41,Entrepreneur,68,1,25,2,13,2,5.166666666666667,1.0,2
Lindsey Stirling,Mark Ballas,18,Musician,31,1,25,2,2,10,8.883333333333335,2.666666666666667,0
Debbie Gibson,Alan Bersten,44,Singer/Rapper,47,1,25,2,12,2,6.25,1.166666666666666,2
Nick Lachey,Peta Murgatroyd,29,Singer/Rapper,43,1,25,2,9,6,6.75,0.5,6
Drew Scott,Emma Slater,34,Tv Personality,39,0,25,2,4,10,7.8375,4.041666666666667,10
Vanessa Lachey,Maksim Chmerkoskiy,7,Tv Personality,36,0,25,2,7,7,8.071428571428571,2.0,7
Jamie Anderson,Artem Chigvintsev,40,Athlete,27,1,26,2,10,1,6.333333333333333,,1
Johnny Damon,Emma Slater,34,Athlete,44,1,26,2,9,1,6.0,,1
Kareem Abdul-Jabbar,Lindsay Arnold,31,Athlete,71,1,26,2,8,2,6.520833333333334,1.708333333333333,2
Arike Ogunbowale,Gleb Savchenko,33,Athlete,21,1,26,2,7,2,7.708333333333334,2.083333333333333,2
Jennie Finch Daigle,Keo Motsepe,41,Athlete,37,1,26,2,6,3,7.375,0.25,3
Chris Mazdzer,Witney Carson,38,Athlete,29,1,26,2,5,3,7.833333333333333,1.25,3
Mirai Nagasu,Alan Bersten,44,Athlete,25,1,26,2,4,3,8.555555555555555,1.083333333333333,3
Tonya Harding,Sasha Farber,35,Athlete,47,1,26,2,3,4,8.5,1.666666666666667,0
Josh Norman,Sharna Burgess,32,Athlete,30,1,26,2,2,4,8.71875,1.5,0
Adam Rippon,Jenna Johnson,42,Athlete,28,1,26,2,1,4,9.291666666666666,1.666666666666666,0
Juan Pablo Di Pace,Cheryl Burke,10,Actor/Actress,39,0,27,2,5,8,9.125,2.666666666666667,8
Evanna Lynch,Keo Motsepe,41,Actor/Actress,27,0,27,2,3,9,8.685185185185183,4.0,0
Nancy McKeon,Valentin Chmerkovskiy,28,Actor/Actress,52,1,27,2,11,3,6.888888888888888,0.833333333333333,3
John Schneider,Emma Slater,34,Actor/Actress,58,1,27,2,8,7,7.214285714285714,3.0,7
Milo Manheim,Witney Carson,38,Actor/Actress,17,1,27,2,2,9,9.092592592592592,3.333333333333333,0
Danelle Umstead,Artem Chigvintsev,40,Athlete,46,1,27,2,12,2,6.083333333333334,0.16666666666666696,2
Mary Lou Retton,Sasha Farber,35,Athlete,50,1,27,2,9,6,7.888888888888889,1.333333333333333,6
DeMarcus Ware,Lindsay Arnold,31,Athlete,36,1,27,2,7,7,8.238095238095237,1.166666666666667,7
Nikki Glaser,Gleb Savchenko,33,Comedian,34,1,27,2,13,1,5.833333333333333,,1
Bobby Bones,Sharna Burgess,32,Radio Personality,38,1,27,2,1,9,7.462962962962964,2.333333333333333,0
Tinashe,Brandon Armstrong,45,Singer/Rapper,25,1,27,2,10,4,8.5,0.9999999999999991,4
Alexis Ren,Alan Bersten,44,Social Media Personality,21,1,27,2,4,9,8.833333333333334,2.166666666666667,0
Joe Amabile,Jenna Johnson,42,Tv Personality,32,1,27,2,6,8,6.25,3.0,8
Kate Flannery,Pasha Pashkov,46,Actor/Actress,55,1,28,3,7,8,7.520825,3.6666000000000007,8
James Van Der Beek,Emma Slater,34,Actor/Actress,42,1,28,3,5,10,8.31666,1.5,10
Kel Mitchell,Witney Carson,38,Actor/Actress,41,1,28,3,2,11,8.28029696969697,4.500000000000001,0
Ray Lewis,Cheryl Burke,10,Athlete,44,1,28,3,11,2,5.0,0.0,-1
Lamar Odom,Peta Murgatroyd,29,Athlete,39,1,28,3,10,4,4.166666666666666,1.3333333333333335,4
Sailor Brinkley-Cook,Valentin Chmerkovskiy,28,Model,21,1,28,3,9,6,7.402777777777779,3.0,6
Sean Spicer,Lindsay Arnold,31,Politician,48,1,28,3,6,9,5.87037037037037,2.25,9
Mary Wilson,Brandon Armstrong,45,Singer/Rapper,75,1,28,3,12,2,5.333333333333334,-0.666666666666667,2
Lauren Alaina,Gleb Savchenko,33,Singer/Rapper,24,1,28,3,4,11,7.992424242424241,3.166666666666667,0
Ally Brooke,Sasha Farber,35,Singer/Rapper,26,1,28,3,3,11,8.56060606060606,4.666666666666667,0
Karamo Brown,Jenna Johnson,42,Tv Personality,38,1,28,3,8,7,6.833333333333333,2.499999999999999,7
Hannah Brown,Alan Bersten,44,Tv Personality,24,1,28,3,1,11,8.412872727272728,2.999999999999999,0
Anne Heche,Keo Motsepe,41,Actor/Actress,51,1,29,3,13,4,6.0,1.0,4
Jesse Metcalfe,Sharna Burgess,32,Actor/Actress,41,1,29,3,12,5,6.533333333333334,0.33333333333333304,5
Chrishell Stause,Gleb Savchenko,33,Actor/Actress,39,1,29,3,8,8,7.125,4.666666666666667,8
Skai Jackson,Alan Bersten,44,Actor/Actress,18,1,29,3,5,10,7.849986666666666,2.5,10
Justina Machado,Sasha Farber,35,Actor/Actress,48,1,29,3,4,11,8.363624242424244,3.0,0
Charles Oakley,Emma Slater,34,Athlete,56,1,29,3,15,2,4.5,1.0,2
Veron Davis,Peta Murgatroyd,29,Athlete,36,1,29,3,11,6,6.722222222222222,1.333333333333333,6
Johnny Weir,Britt Stewart,47,Athlete,36,1,29,3,6,10,8.35,3.5,10
Nev Schulman,Jenna Johnson,42,Producer,35,1,29,3,2,11,8.787872727272728,3.333333333333333,0
AJ McLean,Cheryl Burke,10,Singer/Rapper,42,1,29,3,7,9,7.814807407407408,2.333266666666667,9
Nelly,Daniella Karagach,48,Singer/Rapper,45,1,29,3,3,11,7.6515151515151505,4.166666666666667,0
Kaitlyn Bristowe,Artem Chigvintsev,40,Tv Personality,35,0,29,3,1,11,8.666666666666668,3.333333333333333,0
Carole Baskin,Pasha Pashkov,46,Tv Personality,59,1,29,3,14,3,4.333333333333333,0.3333333333333335,3
Monica Aldama,Valentin Chmerkovskiy,28,Tv Personality,48,1,29,3,10,7,7.38095238095238,1.0,7
Jeannie Mai,Brandon Armstrong,45,Tv Personality,41,1,29,3,9,7,7.285714285714286,2.333333333333334,-1
Martin Kove,Britt Stewart,47,Actor/Actress,75,1,30,3,15,2,3.5,0.5,2
Brian Austin Green,Sharna Burgess,32,Actor/Actress,48,1,30,3,13,4,6.145833333333333,0.5,4
Melora Hardin,Artem Chigvintsev,40,Actor/Actress,54,1,30,3,6,9,8.50462962962963,2.5,9
Matt James,Lindsay Arnold,31,Athlete,29,1,30,3,12,4,6.322916666666667,1.125,4
"Mike ""The Miz"" Mizanin",Witney Carson,38,Athlete,40,1,30,3,9,7,7.494047619047619,2.0,7
Suni Lee,Sasha Farber,35,Athlete,18,1,30,3,5,9,8.430555555555555,2.375,9
Iman Shumpert,Daniella Karagach,48,Athlete,31,1,30,3,1,10,7.933333333333333,4.75,0
Cody Rigsby,Cheryl Burke,10,Fitness Instructor,34,1,30,3,3,10,7.9125,3.5,0
Melanie C,Gleb Savchenko,33,Singer/Rapper,47,0,30,3,11,5,7.766666666666666,2.25,5
Jimmie Allen,Emma Slater,34,Singer/Rapper,36,1,30,3,7,8,7.817708333333334,2.5,8
Olivia Jade,Valentin Chmerkovskiy,28,Social Media Personality,21,1,30,3,8,8,8.40625,2.75,8
JoJo Siwa,Jenna Johnson,42,Social Media Personality,18,1,30,3,2,10,9.175,2.75,0
Christine Chiu,Pasha Pashkov,46,Tv Personality,38,0,30,3,14,3,6.416666666666667,0.75,3
Kenya Moore,Brandon Armstrong,45,Tv Personality,50,1,30,3,10,6,7.3125,1.5,6
Amanda Kloots,Alan Bersten,44,Tv Personality,39,1,30,3,4,10,8.9375,2.75,0
Jason Lewis,Peta Murgatroyd,29,Actor/Actress,51,1,31,3,16,1,4.5,,1
Cheryl Ladd,Louis van Amstel,5,Actor/Actress,71,1,31,3,14,3,5.5,0.75,3
Selma Blair,Sasha Farber,35,Actor/Actress,50,1,31,3,12,5,7.8,3.0,-1
Joseph Baena,Daniella Karagach,48,Actor/Actress,24,1,31,3,11,5,6.95,3.0,5
Trevor Donovan,Emma Slater,34,Actor/Actress,39,1,31,3,6,9,7.958333333333333,2.875,9
Daniel Durant,Britt Stewart,47,Actor/Actress,32,1,31,3,5,9,8.152777777777779,1.875,9
Wayne Brady,Witney Carson,38,Comedian,50,1,31,3,3,10,9.0625,2.25,0
Sam Champion,Cheryl Burke,10,News Anchor,61,1,31,3,13,4,6.0,1.25,4
Jessie James Decker,Alan Bersten,44,Singer/Rapper,34,0,31,3,10,6,7.083333333333333,3.0,6
Jordin Sparks,Brandon Armstrong,45,Singer/Rapper,32,1,31,3,9,7,7.857142857142857,2.125,7
Heidi D'Amelio,Artem Chigvintsev,40,Social Media Personality,50,1,31,3,8,8,8.21875,2.75,8
Charli D'Amelio,Mark Ballas,18,Social Media Personality,18,1,31,3,1,10,9.475,2.0,0
Teresa Giudice,Pasha Pashkov,46,Tv Personality,50,1,31,3,15,2,5.375,0.75,2
Vinny Guadagnino,Koko Iwasaki,49,Tv Personality,34,1,31,3,7,8,6.734375,3.0,8
Shangela,Gleb Savchenko,33,Tv Personality,40,1,31,3,4,10,8.6375,2.5,0
Gabby Windey,Valentin Chmerkovskiy,28,Tv Personality,31,1,31,3,2,10,9.0625,3.0,0
Jamie Lynn Spears,Alan Bersten,44,Actor/Actress,32,1,32,3,13,2,5.166666666666666,0.33333333333333304,2
Mira Sorvino,Gleb Savchenko,33,Actor/Actress,55,1,32,3,10,5,6.5,1.666666666666666,5
Barry Williams,Peta Murgatroyd,29,Actor/Actress,68,1,32,3,7,8,6.932291666666666,3.416666666666667,8
Alyson Hannigan,Sasha Farber,35,Actor/Actress,49,1,32,3,5,11,7.318181818181817,4.500000000000001,0
Xochitl Gomez,Valentin Chmerkovskiy,28,Actor/Actress,17,1,32,3,1,11,9.121212121212123,4.0,0
Adrian Peterson,Britt Stewart,47,Athlete,38,1,32,3,11,4,5.875,1.0,4
Matt Walsh,Koko Iwasaki,49,Comedian,58,1,32,3,14,1,4.0,,1
Tyson Beckford,Jenna Johnson,42,Model,52,1,32,3,12,3,5.0,1.0,3
Jason Mraz,Daniella Karagach,48,Singer/Rapper,46,1,32,3,2,11,8.886363636363637,3.0,0
Lele Pons,Brandon Armstrong,45,Social Media Personality,27,0,32,3,8,7,7.684523809523809,2.791666666666667,7
Harry Jowsey,Rylee Arnold,50,Tv Personality,26,0,32,3,6,9,6.416666666666667,3.5,9
Mauricio Umansky,Emma Slater,34,Tv Personality,53,0,32,3,9,6,6.222222222222221,3.25,6
Charity Lawson,Artem Chigvintsev,40,Tv Personality,27,1,32,3,4,11,8.825757575757576,2.500000000000001,0
Ariana Madix,Pasha Pashkov,46,Tv Personality,38,1,32,3,3,11,8.840909090909092,2.833333333333334,0
Tori Spelling,Pasha Pashkov,46,Actor/Actress,51,1,33,3,12,2,6.0,0.6666666666666661,2
Eric Roberts,Britt Stewart,47,Actor/Actress,68,1,33,3,10,3,5.25,0.75,3
Reginald VelJohnson,Emma Slater,34,Actor/Actress,74,1,33,3,10,3,5.194444444444444,-0.08333333333333304,3
Chandler Kinney,Brandon Armstrong,45,Actor/Actress,24,1,33,3,3,9,9.069444444444445,2.333333333333333,0
Dwight HowardÂ ,Daniella Karagach,48,Athlete,38,1,33,3,6,7,7.821428571428571,0.666666666666667,7
Danny Amendola,Witney Carson,38,Athlete,39,1,33,3,5,9,8.314814814814815,2.666666666666667,0
Stephen Nedoroscik,Rylee Arnold,50,Athlete,26,1,33,3,4,9,8.37037037037037,2.833333333333334,0
Ilona Maher,Alan Bersten,44,Athlete,28,1,33,3,2,9,8.037037037037036,3.5,0
Anna Delvey,Ezra Sosa,51,Con Artist,33,0,33,3,12,2,5.833333333333334,-0.33333333333333304,2
Brooks Nader,Gleb Savchenko,33,Model,27,1,33,3,9,4,7.072916666666667,2.0,4
Phaedra Parks,Val Chmerkovskiy,52,Tv Personality,51,1,33,3,8,5,7.266666666666666,1.666666666666667,5
Jenn Tran,Sasha Farber,35,Tv Personality,26,1,33,3,7,6,7.875,4.000000000000001,6
Joey Graziadei,Jenna Johnson,42,Tv Personality,29,1,33,3,1,9,8.898148148148147,2.833333333333334,0
Corey Feldman,Jenna Johnson,42,Actor/Actress,54,1,34,3,13,2,4.75,0.5,2
Danielle Fishel,Pasha Pashkov,46,Actor/Actress,44,1,34,3,8,8,7.572916666666666,3.25,8
Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),53,Actor/Actress,55,1,34,3,5,11,8.1856,3.6666000000000007,0
Baron Davis,Britt Stewart,47,Athlete,46,1,34,3,13,2,5.5,1.0,2
Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),54,Athlete,24,1,34,3,3,11,8.588381818181817,4.888866666666667,0
Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),55,Comedian,59,1,34,3,7,9,6.398148148148148,2.75,9
Robert Irwin,Witney Carson (Xoshitl Gomez week 9),56,Conservationist,22,0,34,3,1,11,8.838381818181817,2.388866666666667,0
Hilaria Baldwin,Gleb Savchenko,33,Entrepreneur,41,1,34,3,11,4,7.25,0.666666666666667,4
Lauren Jauregui,Brandon Armstrong,45,Singer/Rapper,29,1,34,3,12,3,6.5,-0.5,3
Scott Hoying,Rylee Arnold,50,Singer/Rapper,34,1,34,3,10,6,6.638888888888888,2.0,6
Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),57,Social Media Personality,24,1,34,3,2,11,8.791666666666668,3.5,0
Jen Affleck,Jan Ravnik,58,Tv Personality,26,1,34,3,9,7,7.297619047619047,2.5,7
Whitney Leavitt,Mark Ballas,18,Tv Personality,32,1,34,3,6,10,8.970833333333335,2.166666666666666,10
Dylan Efron,Daniella Karagach (Rumer Willis week 9),59,Tv Personality,33,1,34,3,4,11,8.404036363636363,4.777733333333334,0
